timestamps,true_lat,true_lon,true_x,true_y,ax,ay,gnss_lat,gnss_lon,gnss_x,gnss_y
1.59502E+12,37.4236135,-122.0780716,-4978040.898,8166355.09,-0.377174421,9.873332683,37.42360632,-122.0780669,-4978042.089,8166355.427
1.59502E+12,37.423607,-122.0780715,-4978041.627,8166355.765,-0.280744306,9.870817408,37.42360552,-122.0780667,-4978042.19,8166355.499
1.59502E+12,37.4235951,-122.0780709,-4978042.995,8166356.963,-0.344330631,9.884986168,37.42359906,-122.0780668,-4978042.899,8166356.186
1.59502E+12,37.4235779,-122.0780702,-4978044.958,8166358.709,0.070818349,9.918433851,37.42358716,-122.0780666,-4978044.236,8166357.417
1.59502E+12,37.4235509,-122.078071,-4978047.881,8166361.618,0.996691155,9.879354995,37.42357035,-122.0780665,-4978046.104,8166359.176
1.59502E+12,37.4235154,-122.078082,-4978050.889,8166366.322,1.826960746,9.966570942,37.42354313,-122.0780676,-4978049.023,8166362.139
1.59502E+12,37.4234755,-122.0781132,-4978052.691,8166373.272,2.780438022,9.852396201,37.42350856,-122.0780805,-4978051.77,8166366.912
1.59502E+12,37.4234417,-122.0781715,-4978051.546,8166381.974,2.286180982,9.991771615,37.42346698,-122.0781134,-4978053.62,8166374.183
1.59502E+12,37.4234255,-122.0782527,-4978046.531,8166390.848,0.362190524,9.839976962,37.42343126,-122.0781717,-4978052.688,8166383.087
1.59502E+12,37.4234207,-122.0783477,-4978039.097,8166399.743,-0.19807645,9.952030873,37.42341708,-122.0782584,-4978046.984,8166392.239
1.59502E+12,37.4234163,-122.0784547,-4978030.613,8166409.654,-0.135251992,9.953727971,37.42341237,-122.0783548,-4978039.428,8166401.241
1.59502E+12,37.4234113,-122.0785733,-4978021.222,8166420.654,-0.164034893,9.807167631,37.42340811,-122.0784625,-4978030.867,8166411.202
1.59502E+12,37.4234058,-122.0787049,-4978010.796,8166432.853,-0.026332554,9.960964115,37.42340314,-122.0785812,-4978021.465,8166422.208
1.59502E+12,37.4234005,-122.0788493,-4977999.276,8166446.162,-0.189113521,9.828990712,37.4233978,-122.0787132,-4978010.986,8166434.428
1.59502E+12,37.4233956,-122.0790026,-4977986.964,8166460.215,-0.24726601,9.865722721,37.42339274,-122.0788578,-4977999.419,8166447.733
1.59502E+12,37.4233904,-122.0791611,-4977974.25,8166474.759,-0.525420141,9.783458077,37.42338792,-122.0790113,-4977987.085,8166461.791
1.59502E+12,37.4233833,-122.0793243,-4977961.352,8166489.917,-0.440095297,9.969005183,37.42338273,-122.0791698,-4977974.37,8166476.334
1.59502E+12,37.4233742,-122.0794925,-4977948.256,8166505.728,-0.52380959,9.839068096,37.42337556,-122.0793328,-4977961.493,8166491.484
1.59502E+12,37.4233631,-122.0796676,-4977934.803,8166522.357,-0.419710293,9.888742212,37.42336659,-122.0795011,-4977948.377,8166507.288
1.59502E+12,37.4233498,-122.0798493,-4977921.04,8166539.801,-0.446456985,9.808203125,37.4233554,-122.0796762,-4977934.933,8166523.93
1.59502E+12,37.4233347,-122.0800362,-4977907.041,8166557.893,-0.562232798,9.860626529,37.4233421,-122.0798576,-4977921.198,8166541.343
1.59502E+12,37.4233163,-122.0802298,-4977892.845,8166576.924,-0.367206242,9.779926298,37.42332695,-122.0800446,-4977907.193,8166559.451
1.59502E+12,37.4232952,-122.0804296,-4977878.428,8166596.785,0.257734605,9.947884019,37.42330851,-122.0802382,-4977893.004,8166578.484
1.59502E+12,37.4232731,-122.0806352,-4977863.635,8166617.265,-0.155809566,9.788335665,37.42328733,-122.0804379,-4977878.602,8166598.347
1.59502E+12,37.4232533,-122.0808473,-4977848.043,8166638.076,-0.23613018,9.730160144,37.42326534,-122.0806434,-4977863.81,8166618.8
1.59502E+12,37.4232335,-122.0810666,-4977831.846,8166659.523,-0.381988828,9.856381725,37.42324538,-122.0808557,-4977848.218,8166639.648
1.59502E+12,37.423213,-122.0812917,-4977815.241,8166681.555,-0.050582889,9.763636787,37.42322565,-122.0810749,-4977832.017,8166661.085
1.59502E+12,37.4231923,-122.0815193,-4977798.449,8166703.829,-0.059325898,9.90548049,37.42320521,-122.0813,-4977815.404,8166683.11
1.59502E+12,37.4231728,-122.0817458,-4977781.615,8166725.88,-0.133204296,9.831187875,37.42318446,-122.0815278,-4977798.606,8166705.402
1.59502E+12,37.423154,-122.0819714,-4977764.78,8166747.778,-0.11792705,9.822606029,37.42316495,-122.0817541,-4977781.791,8166727.436
1.59502E+12,37.4231358,-122.0821988,-4977747.727,8166769.771,0.136045777,9.821754713,37.42314629,-122.0819798,-4977764.932,8166749.327
1.59502E+12,37.4231191,-122.0824294,-4977730.239,8166791.889,0.239006167,9.862628346,37.42312805,-122.082207,-4977747.895,8166771.312
